model,stage,scope,metric,value,bootstraps
logistic_regression,baseline,bootstrap,spearman_rank_importance_mean,0.42861628167750615,50.0
logistic_regression,baseline,bootstrap,jaccard_top3_mean,0.3838367346938776,50.0
logistic_regression,baseline,bootstrap,jaccard_top5_mean,0.4439196631033365,50.0
logistic_regression,baseline,bootstrap,jaccard_top10_mean,0.6866143380429095,50.0
logistic_regression,baseline,bootstrap,mean_cv_abs_shap_across_features,0.5967405422237418,50.0
random_forest,baseline,bootstrap,spearman_rank_importance_mean,0.5119309262166405,50.0
random_forest,baseline,bootstrap,jaccard_top3_mean,0.3528979591836735,50.0
random_forest,baseline,bootstrap,jaccard_top5_mean,0.4626692581794622,50.0
random_forest,baseline,bootstrap,jaccard_top10_mean,0.7204795204795206,50.0
random_forest,baseline,bootstrap,mean_cv_abs_shap_across_features,0.3234914742585058,50.0
svm_rbf,baseline,bootstrap,spearman_rank_importance_mean,0.4323260073260073,25.0
svm_rbf,baseline,bootstrap,jaccard_top3_mean,0.228,25.0
svm_rbf,baseline,bootstrap,jaccard_top5_mean,0.3961640211640211,25.0
svm_rbf,baseline,bootstrap,jaccard_top10_mean,0.737964257964258,25.0
svm_rbf,baseline,bootstrap,mean_cv_abs_shap_across_features,0.462193797536719,25.0
logistic_regression,optimized,bootstrap,spearman_rank_importance_mean,0.3655438439111908,50.0
logistic_regression,optimized,bootstrap,jaccard_top3_mean,0.3339591836734694,50.0
logistic_regression,optimized,bootstrap,jaccard_top5_mean,0.38669258179462257,50.0
logistic_regression,optimized,bootstrap,jaccard_top10_mean,0.6783121640264498,50.0
logistic_regression,optimized,bootstrap,mean_cv_abs_shap_across_features,0.6258098266207912,50.0
random_forest,optimized,bootstrap,spearman_rank_importance_mean,0.5619511101143754,50.0
random_forest,optimized,bootstrap,jaccard_top3_mean,0.3577142857142857,50.0
random_forest,optimized,bootstrap,jaccard_top5_mean,0.4642338840298024,50.0
random_forest,optimized,bootstrap,jaccard_top10_mean,0.7440388183245327,50.0
random_forest,optimized,bootstrap,mean_cv_abs_shap_across_features,0.4501860192238994,50.0
svm_rbf,optimized,bootstrap,spearman_rank_importance_mean,0.3925091575091575,25.0
svm_rbf,optimized,bootstrap,jaccard_top3_mean,0.35133333333333333,25.0
svm_rbf,optimized,bootstrap,jaccard_top5_mean,0.4316005291005291,25.0
svm_rbf,optimized,bootstrap,jaccard_top10_mean,0.6818648018648019,25.0
svm_rbf,optimized,bootstrap,mean_cv_abs_shap_across_features,0.6607317728920085,25.0
logistic_regression,baseline_vs_optimized,bootstrap,delta_spearman_rank_importance_mean,-0.06307243776631533,
logistic_regression,baseline_vs_optimized,bootstrap,delta_jaccard_top3_mean,-0.049877551020408195,
logistic_regression,baseline_vs_optimized,bootstrap,delta_jaccard_top5_mean,-0.057227081308713956,
logistic_regression,baseline_vs_optimized,bootstrap,delta_jaccard_top10_mean,-0.008302174016459718,
logistic_regression,baseline_vs_optimized,bootstrap,delta_mean_cv_abs_shap_across_features,0.029069284397049366,
random_forest,baseline_vs_optimized,bootstrap,delta_spearman_rank_importance_mean,0.05002018389773488,
random_forest,baseline_vs_optimized,bootstrap,delta_jaccard_top3_mean,0.004816326530612203,
random_forest,baseline_vs_optimized,bootstrap,delta_jaccard_top5_mean,0.0015646258503402288,
random_forest,baseline_vs_optimized,bootstrap,delta_jaccard_top10_mean,0.023559297845012095,
random_forest,baseline_vs_optimized,bootstrap,delta_mean_cv_abs_shap_across_features,0.12669454496539362,
svm_rbf,baseline_vs_optimized,bootstrap,delta_spearman_rank_importance_mean,-0.0398168498168498,
svm_rbf,baseline_vs_optimized,bootstrap,delta_jaccard_top3_mean,0.12333333333333332,
svm_rbf,baseline_vs_optimized,bootstrap,delta_jaccard_top5_mean,0.03543650793650799,
svm_rbf,baseline_vs_optimized,bootstrap,delta_jaccard_top10_mean,-0.0560994560994561,
svm_rbf,baseline_vs_optimized,bootstrap,delta_mean_cv_abs_shap_across_features,0.19853797535528944,
