model,stage,metric,value
logistic_regression,baseline,mean_cv_abs_shap_across_features,0.8001678964915284
logistic_regression,optimized,mean_cv_abs_shap_across_features,0.8001678964915337
random_forest,baseline,mean_cv_abs_shap_across_features,0.8069499548895163
random_forest,optimized,mean_cv_abs_shap_across_features,0.7358387834819514
svm_rbf,baseline,mean_cv_abs_shap_across_features,0.9720808637878942
svm_rbf,optimized,mean_cv_abs_shap_across_features,0.9917780976820147
logistic_regression,baseline_vs_optimized,spearman_rank_importance,0.9780219780219779
logistic_regression,baseline_vs_optimized,jaccard_top3,0.5
logistic_regression,baseline_vs_optimized,jaccard_top5,1.0
logistic_regression,baseline_vs_optimized,jaccard_top10,1.0
logistic_regression,baseline_vs_optimized,delta_mean_cv_abs_shap_across_features,5.329070518200751e-15
random_forest,baseline_vs_optimized,spearman_rank_importance,0.945054945054945
random_forest,baseline_vs_optimized,jaccard_top3,0.5
random_forest,baseline_vs_optimized,jaccard_top5,1.0
random_forest,baseline_vs_optimized,jaccard_top10,1.0
random_forest,baseline_vs_optimized,delta_mean_cv_abs_shap_across_features,-0.07111117140756484
svm_rbf,baseline_vs_optimized,spearman_rank_importance,0.8461538461538461
svm_rbf,baseline_vs_optimized,jaccard_top3,0.5
svm_rbf,baseline_vs_optimized,jaccard_top5,0.6666666666666666
svm_rbf,baseline_vs_optimized,jaccard_top10,0.8181818181818182
svm_rbf,baseline_vs_optimized,delta_mean_cv_abs_shap_across_features,0.01969723389412059
